"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140014","BP","GO:0140014","mitotic nuclear division","18/107","325/18903",3.1351029272541e-13,5.73620331277237e-11,2.58818539443884e-11,"6790/9212/332/701/891/8556/991/995/990/113130/55143/1111/11200/1950/3553/4288/5347/28984",18
"GO:0044843","BP","GO:0044843","cell cycle G1/S phase transition","17/107","280/18903",3.44038053707151e-13,5.73620331277237e-11,2.58818539443884e-11,"6347/890/894/898/993/990/8317/1029/1030/11200/1869/2146/407006/407007/28984/6502/7015",17
"GO:1903037","BP","GO:1903037","regulation of leukocyte cell-cell adhesion","19/107","377/18903",3.47280530880588e-13,5.73620331277237e-11,2.58818539443884e-11,"84433/857/6347/939/960/1493/6387/50943/3458/3553/3559/3569/3575/3718/407006/407007/7037/7048/7070",19
"GO:0010389","BP","GO:0010389","regulation of G2/M transition of mitotic cell cycle","12/107","99/18903",3.52866837645938e-13,5.73620331277237e-11,2.58818539443884e-11,"6790/9212/580/672/891/993/995/990/8317/983/1111/5347",12
"GO:0045931","BP","GO:0045931","positive regulation of mitotic cell cycle","13/107","129/18903",3.9573400782368e-13,5.81778543949746e-11,2.62499539877864e-11,"675/891/894/993/995/990/8317/113130/983/407006/407007/28984/7015",13
"GO:1901992","BP","GO:1901992","positive regulation of mitotic cell cycle phase transition","12/107","100/18903",3.9912033615517e-13,5.81778543949746e-11,2.62499539877864e-11,"891/894/993/995/990/8317/113130/983/407006/407007/28984/7015",12
"GO:0022407","BP","GO:0022407","regulation of cell-cell adhesion","21/107","490/18903",4.00831673981124e-13,5.81778543949746e-11,2.62499539877864e-11,"84433/857/6347/939/960/1493/6387/4072/50943/3458/3553/3559/3569/3575/3718/407006/407007/28984/7037/7048/7070",21
"GO:0071900","BP","GO:0071900","regulation of protein serine/threonine kinase activity","19/107","395/18903",7.9366335346092e-13,1.09045401641505e-10,4.92014840601693e-11,"857/890/891/894/898/993/995/990/1029/1030/1950/2146/2247/3458/3553/5347/5468/28984/7070",19
"GO:0000082","BP","GO:0000082","G1/S transition of mitotic cell cycle","16/107","250/18903",8.04961134164652e-13,1.09045401641505e-10,4.92014840601693e-11,"6347/894/898/993/990/8317/1029/1030/11200/1869/2146/407006/407007/28984/6502/7015",16
"GO:1902749","BP","GO:1902749","regulation of cell cycle G2/M phase transition","12/107","110/18903",1.2755788523219e-12,1.6722427276891e-10,7.54518967994821e-11,"6790/9212/580/672/891/993/995/990/8317/983/1111/5347",12
"GO:0050673","BP","GO:0050673","epithelial cell proliferation","20/107","481/18903",2.70933697587193e-12,3.44085795935735e-10,1.55252138551609e-10,"675/695/857/6347/947/1030/6387/1950/2247/2263/2624/3569/3725/406913/407007/283131/5241/5468/28984/8626",20
"GO:0031099","BP","GO:0031099","regeneration","14/107","192/18903",4.11254288125468e-12,5.06465886952091e-10,2.28518331711185e-10,"6790/890/983/6387/2066/2146/2623/3569/3725/407006/407007/5111/7048/7070",14
"GO:0018108","BP","GO:0018108","peptidyl-tyrosine phosphorylation","18/107","380/18903",4.37380933889748e-12,5.22798857449393e-10,2.35887797782025e-10,"695/857/948/960/1440/1950/2066/2263/2623/3458/3569/3718/4233/407006/3084/5175/5979/7070",18
"GO:0018212","BP","GO:0018212","peptidyl-tyrosine modification","18/107","382/18903",4.77420623188933e-12,5.54353546468521e-10,2.50125331006052e-10,"695/857/948/960/1440/1950/2066/2263/2623/3458/3569/3718/4233/407006/3084/5175/5979/7070",18
"GO:0048732","BP","GO:0048732","gland development","19/107","441/18903",5.48062352958783e-12,6.1870150067347e-10,2.79159245279006e-10,"6790/675/857/1030/1950/2066/2146/2247/2263/2624/6927/3569/3725/4233/3084/5111/5241/7048/8626",19
"GO:1901976","BP","GO:1901976","regulation of cell cycle checkpoint","9/107","48/18903",5.91106041779403e-12,6.49258095619323e-10,2.92946436637189e-10,"9212/580/332/672/675/891/55143/11200/5888",9
"GO:0031570","BP","GO:0031570","DNA integrity checkpoint signaling","12/107","129/18903",8.68255018564142e-12,9.28575893538071e-10,4.18975136381921e-10,"580/672/675/8318/990/983/1111/11200/1869/2177/5347/5888",12
"GO:0030099","BP","GO:0030099","myeloid cell differentiation","18/107","407/18903",1.36839213933576e-11,1.42593478314373e-09,6.43384374284183e-10,"1030/1440/2353/2623/2624/3458/3718/3725/407006/407007/4286/4318/4792/5295/5468/6521/7037/7048",18
"GO:0050678","BP","GO:0050678","regulation of epithelial cell proliferation","18/107","414/18903",1.8136682069069e-11,1.84268689821741e-09,8.31423688534687e-10,"675/695/857/6347/1030/6387/1950/2247/2263/2624/3725/406913/407007/283131/5241/5468/28984/8626",18
"GO:1903039","BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","15/107","275/18903",4.30679626296558e-11,4.26898049090051e-09,1.92617178179359e-09,"84433/857/6347/939/960/50943/3458/3553/3559/3569/3575/3718/7037/7048/7070",15
"GO:0000079","BP","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","11/107","117/18903",5.95605393255075e-11,5.76319123378244e-09,2.60036239360988e-09,"890/891/894/898/993/995/990/1029/1030/5347/28984",11
"GO:0051897","BP","GO:0051897","positive regulation of protein kinase B signaling","11/107","120/18903",7.85673439096235e-11,7.25676558292523e-09,3.27426586341063e-09,"1440/1950/2022/2247/283120/4233/406913/407006/407007/3084/5979",11
"GO:1904029","BP","GO:1904029","regulation of cyclin-dependent protein kinase activity","11/107","120/18903",7.85673439096235e-11,7.25676558292523e-09,3.27426586341063e-09,"890/891/894/898/993/995/990/1029/1030/5347/28984",11
"GO:0031100","BP","GO:0031100","animal organ regeneration","9/107","65/18903",1.04053798609479e-10,9.39721416775384e-09,4.24004016789971e-09,"6790/890/983/6387/2146/2623/3569/5111/7048",9
"GO:0072089","BP","GO:0072089","stem cell proliferation","11/107","124/18903",1.12351251309397e-10,9.92598881133452e-09,4.47862425128075e-09,"5243/675/898/947/4072/2247/407006/407007/7015/7048/8626",11
"GO:0033002","BP","GO:0033002","muscle cell proliferation","14/107","247/18903",1.21016560431692e-10,1.04640702466893e-08,4.72140757608078e-09,"983/2066/2247/2263/2353/3458/3569/3725/407006/407007/4318/5468/7015/7048",14
"GO:0050870","BP","GO:0050870","positive regulation of T cell activation","14/107","251/18903",1.4966231213926e-10,1.26714090944573e-08,5.71736288917962e-09,"84433/857/6347/939/50943/3458/3553/3559/3569/3575/3718/7037/7048/7070",14
"GO:0030098","BP","GO:0030098","lymphocyte differentiation","17/107","419/18903",2.03903834627098e-10,1.69115343658067e-08,7.63051514329550e-09,"695/84433/930/939/1493/2146/2177/50943/3458/3553/3559/3569/3575/3718/5079/5295/7048",17
"GO:0045785","BP","GO:0045785","positive regulation of cell adhesion","18/107","484/18903",2.31957488820969e-10,1.88535046913684e-08,8.50673569528692e-09,"84433/857/6347/939/948/960/6387/50943/3458/3553/3559/3569/3575/3718/5979/7037/7048/7070",18
"GO:0043491","BP","GO:0043491","protein kinase B signaling","13/107","218/18903",3.11188763227848e-10,2.46333595447993e-08,1.11146167444676e-08,"6347/1440/1950/2022/2247/283120/3553/4233/406913/407006/407007/3084/5979",13
"GO:1902105","BP","GO:1902105","regulation of leukocyte differentiation","15/107","317/18903",3.15190624096842e-10,2.46333595447993e-08,1.11146167444676e-08,"695/84433/939/1493/2177/2353/50943/2624/3458/3559/3575/3718/4286/5295/7048",15
"GO:0050863","BP","GO:0050863","regulation of T cell activation","16/107","376/18903",3.65550970241079e-10,2.80301725105612e-08,1.26472649485593e-08,"84433/857/6347/939/1493/2177/50943/3458/3553/3559/3569/3575/3718/7037/7048/7070",16
"GO:0022409","BP","GO:0022409","positive regulation of cell-cell adhesion","15/107","322/18903",3.91557677751886e-10,2.94683407848827e-08,1.32961690963701e-08,"84433/857/6347/939/960/50943/3458/3553/3559/3569/3575/3718/7037/7048/7070",15
"GO:2000045","BP","GO:2000045","regulation of G1/S transition of mitotic cell cycle","12/107","185/18903",5.95668500754802e-10,4.40144870375912e-08,1.98594168098539e-08,"6347/894/990/1029/1030/11200/1869/2146/407006/407007/28984/7015",12
"GO:0002696","BP","GO:0002696","positive regulation of leukocyte activation","17/107","450/18903",6.09183153602455e-10,4.42092917185781e-08,1.9947313037133e-08,"695/84433/857/6347/939/50943/2623/2624/3458/3553/3559/3569/3575/3718/7037/7048/7070",17
"GO:0071214","BP","GO:0071214","cellular response to abiotic stimulus","15/107","335/18903",6.76405406403087e-10,4.73950270969336e-08,2.13847226488962e-08,"9212/580/672/675/894/993/1111/11200/2022/2247/3553/4318/5111/5295/5888",15
"GO:0104004","BP","GO:0104004","cellular response to environmental stimulus","15/107","335/18903",6.76405406403087e-10,4.73950270969336e-08,2.13847226488962e-08,"9212/580/672/675/894/993/1111/11200/2022/2247/3553/4318/5111/5295/5888",15
"GO:0071478","BP","GO:0071478","cellular response to radiation","12/107","189/18903",7.61719446148005e-10,5.24682682906016e-08,2.36737783263127e-08,"9212/580/672/675/894/993/1111/11200/4318/5111/5295/5888",12
"GO:0051302","BP","GO:0051302","regulation of cell division","12/107","190/18903",8.09283918134264e-10,5.48154973882942e-08,2.47328523752612e-08,"6790/9212/332/675/8556/990/55143/2247/2263/3553/5347/8626",12
"GO:0006260","BP","GO:0006260","DNA replication","14/107","286/18903",8.28415794746791e-10,5.5191504751655e-08,2.49025075832426e-08,"580/672/675/890/898/8318/990/8317/983/1111/1950/4173/5111/5888",14
"GO:0034614","BP","GO:0034614","cellular response to reactive oxygen species","11/107","150/18903",8.75677329583241e-10,5.73140845752371e-08,2.58602194700743e-08,"695/948/983/2146/2353/283120/3569/3725/4233/4318/5111",11
"GO:0010718","BP","GO:0010718","positive regulation of epithelial to mesenchymal transition","8/107","56/18903",9.16686884200396e-10,5.73140845752371e-08,2.58602194700743e-08,"2022/2146/3553/3569/407006/407007/28984/7048",8
"GO:0045839","BP","GO:0045839","negative regulation of mitotic nuclear division","8/107","56/18903",9.16686884200396e-10,5.73140845752371e-08,2.58602194700743e-08,"9212/332/701/891/991/55143/1111/5347",8
"GO:2000630","BP","GO:2000630","positive regulation of miRNA metabolic process","8/107","56/18903",9.16686884200396e-10,5.73140845752371e-08,2.58602194700743e-08,"2247/2353/60674/2624/3725/10984/5468/7015",8
"GO:1904892","BP","GO:1904892","regulation of receptor signaling pathway via STAT","10/107","115/18903",1.00050824815344e-09,6.16070533408419e-08,2.77972148051561e-08,"857/1950/2066/3458/3569/3575/3718/407006/5468/5979",10
"GO:0050867","BP","GO:0050867","positive regulation of cell activation","17/107","467/18903",1.07053719364132e-09,6.49352709695275e-08,2.92989126680784e-08,"695/84433/857/6347/939/50943/2623/2624/3458/3553/3559/3569/3575/3718/7037/7048/7070",17
"GO:0071887","BP","GO:0071887","leukocyte apoptotic process","10/107","117/18903",1.18606362898156e-09,7.08847439438394e-08,3.19833257226917e-08,"9212/695/939/1029/11200/6387/3559/3569/3575/3718",10
"GO:0001935","BP","GO:0001935","endothelial cell proliferation","12/107","199/18903",1.37450978915094e-09,8.09566345378176e-08,3.65277811243468e-08,"857/6347/947/6387/1950/2247/2624/3725/406913/407007/5468/28984",12
"GO:0000077","BP","GO:0000077","DNA damage checkpoint signaling","10/107","121/18903",1.65121538315877e-09,9.58648473879604e-08,4.32543939468056e-08,"580/672/675/983/1111/11200/1869/2177/5347/5888",10
"GO:0000302","BP","GO:0000302","response to reactive oxygen species","12/107","204/18903",1.82390753847899e-09,1.04399439948995e-07,4.71052176728006e-08,"695/948/983/2146/2353/283120/3043/3569/3725/4233/4318/5111",12
"GO:0051784","BP","GO:0051784","negative regulation of nuclear division","8/107","63/18903",2.41899279602846e-09,1.3653870448694e-07,6.16065124368652e-08,"9212/332/701/891/991/55143/1111/5347",8
"GO:0043410","BP","GO:0043410","positive regulation of MAPK cascade","17/107","496/18903",2.65608413457206e-09,1.47867478395902e-07,6.67180758821128e-08,"6347/939/948/960/1950/2066/2146/2247/2263/3553/3569/3725/406913/407006/407007/3084/5979",17
"GO:0051098","BP","GO:0051098","regulation of binding","15/107","372/18903",2.83338211283757e-09,1.55606282521242e-07,7.02098384148372e-08,"6790/9212/857/1440/1869/1950/2623/3458/3725/4233/4318/4792/5347/5468/7015",15
"GO:1902806","BP","GO:1902806","regulation of cell cycle G1/S phase transition","12/107","213/18903",2.97786606920644e-09,1.61360636070067e-07,7.2806213228879e-08,"6347/894/990/1029/1030/11200/1869/2146/407006/407007/28984/7015",12
"GO:0050730","BP","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","13/107","266/18903",3.53616447944033e-09,1.89091742690072e-07,8.53185391022861e-08,"857/948/960/1440/1950/2066/2623/3458/3569/407006/3084/5175/7070",13
"GO:0002573","BP","GO:0002573","myeloid leukocyte differentiation","12/107","218/18903",3.87155529231949e-09,2.04337671532291e-07,9.21975299961798e-08,"1440/2353/2623/2624/3458/3725/4286/4318/5295/5468/7037/7048",12
"GO:0048661","BP","GO:0048661","positive regulation of smooth muscle cell proliferation","9/107","98/18903",4.38951182358788e-09,2.28704821167451e-07,1.03192032343996e-07,"2247/2263/3569/3725/407006/407007/4318/7015/7048",9
"GO:0048660","BP","GO:0048660","regulation of smooth muscle cell proliferation","11/107","175/18903",4.48479562471596e-09,2.30711511630958e-07,1.04097454740243e-07,"2247/2263/3458/3569/3725/407006/407007/4318/5468/7015/7048",11
"GO:0010634","BP","GO:0010634","positive regulation of epithelial cell migration","11/107","176/18903",4.76144757907351e-09,2.41881537016934e-07,1.09137390562448e-07,"1950/2247/2624/3458/3725/4233/406913/407006/407007/4318/7048",11
"GO:0009314","BP","GO:0009314","response to radiation","16/107","452/18903",5.17728931361992e-09,2.59759305809276e-07,1.17203872440882e-07,"9212/580/672/675/894/993/1111/11200/6387/2177/2353/50943/4318/5111/5295/5888",16
"GO:0051090","BP","GO:0051090","regulation of DNA-binding transcription factor activity","16/107","454/18903",5.5118471158485e-09,2.73172520473272e-07,1.23255939355688e-07,"695/84433/857/948/1029/1440/1869/2146/2177/50943/3553/3569/4792/5468/28984/7037",16
"GO:0048659","BP","GO:0048659","smooth muscle cell proliferation","11/107","179/18903",5.68531069727999e-09,2.78374731008987e-07,1.25603186235406e-07,"2247/2263/3458/3569/3725/407006/407007/4318/5468/7015/7048",11
"GO:0042770","BP","GO:0042770","signal transduction in response to DNA damage","11/107","181/18903",6.38711442501201e-09,3.090146788482e-07,1.39427986571064e-07,"580/672/675/960/983/1111/11200/1869/2177/5347/5888",11
"GO:0007094","BP","GO:0007094","mitotic spindle assembly checkpoint signaling","7/107","46/18903",6.81429638002147e-09,3.18313798717325e-07,1.43623766412552e-07,"9212/332/701/891/991/55143/5347",7
"GO:0071173","BP","GO:0071173","spindle assembly checkpoint signaling","7/107","46/18903",6.81429638002147e-09,3.18313798717325e-07,1.43623766412552e-07,"9212/332/701/891/991/55143/5347",7
"GO:0071174","BP","GO:0071174","mitotic spindle checkpoint signaling","7/107","46/18903",6.81429638002147e-09,3.18313798717325e-07,1.43623766412552e-07,"9212/332/701/891/991/55143/5347",7
"GO:0001936","BP","GO:0001936","regulation of endothelial cell proliferation","11/107","183/18903",7.16535251635627e-09,3.27190928387325e-07,1.47629143506714e-07,"857/6347/6387/1950/2247/2624/3725/406913/407007/5468/28984",11
"GO:0097696","BP","GO:0097696","receptor signaling pathway via STAT","11/107","183/18903",7.16535251635627e-09,3.27190928387325e-07,1.47629143506714e-07,"857/6347/1950/2066/3458/3569/3575/3718/407006/5468/5979",11
"GO:0046425","BP","GO:0046425","regulation of receptor signaling pathway via JAK-STAT","9/107","104/18903",7.45154168259795e-09,3.36478504423089e-07,1.51819714749539e-07,"857/1950/2066/3458/3569/3575/3718/407006/5979",9
"GO:0051251","BP","GO:0051251","positive regulation of lymphocyte activation","15/107","400/18903",7.54376811240648e-09,3.36899709987032e-07,1.5200976346804e-07,"695/84433/857/6347/939/50943/3458/3553/3559/3569/3575/3718/7037/7048/7070",15
"GO:0070371","BP","GO:0070371","ERK1 and ERK2 cascade","14/107","340/18903",7.64786754117998e-09,3.37836235732124e-07,1.5243232559194e-07,"6347/948/960/983/1950/2066/2247/2263/3553/3725/406913/407006/407007/3084",14
"GO:0031577","BP","GO:0031577","spindle checkpoint signaling","7/107","47/18903",7.96976272495052e-09,3.48270061442999e-07,1.57140086778311e-07,"9212/332/701/891/991/55143/5347",7
"GO:2000628","BP","GO:2000628","regulation of miRNA metabolic process","8/107","74/18903",8.94273450359077e-09,3.86630564070137e-07,1.74448415512375e-07,"2247/2353/60674/2624/3725/10984/5468/7015",8
"GO:0034599","BP","GO:0034599","cellular response to oxidative stress","13/107","288/18903",9.17655191131732e-09,3.89109025040553e-07,1.75566701621592e-07,"695/948/983/2146/2177/2353/60674/283120/3569/3725/4233/4318/5111",13
"GO:0062197","BP","GO:0062197","cellular response to chemical stress","14/107","345/18903",9.20328927451601e-09,3.89109025040553e-07,1.75566701621592e-07,"695/857/948/983/2146/2177/2353/60674/283120/3569/3725/4233/4318/5111",14
"GO:0045841","BP","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","7/107","48/18903",9.2872971035762e-09,3.89109025040553e-07,1.75566701621592e-07,"9212/332/701/891/991/55143/5347",7
"GO:0051896","BP","GO:0051896","regulation of protein kinase B signaling","11/107","189/18903",1.00338187039704e-08,4.16096318499342e-07,1.87743417640348e-07,"1440/1950/2022/2247/283120/4233/406913/407006/407007/3084/5979",11
"GO:0045765","BP","GO:0045765","regulation of angiogenesis","14/107","349/18903",1.06489513345603e-08,4.37144830541949e-07,1.97240544655013e-07,"672/947/2022/2247/2624/3553/3569/406913/407006/407007/5468/28984/7015/7048",14
"GO:0010632","BP","GO:0010632","regulation of epithelial cell migration","13/107","292/18903",1.08172184946281e-08,4.39611759621684e-07,1.98353627554127e-07,"1950/2247/2624/3458/3725/4233/406913/407006/407007/4318/5468/28984/7048",13
"GO:0050727","BP","GO:0050727","regulation of inflammatory response","15/107","414/18903",1.19533382008975e-08,4.80973925232154e-07,2.17016312099672e-07,"695/2177/50943/3458/3553/3559/3569/406913/406988/407006/407007/4318/283131/4792/5468",15
"GO:0050731","BP","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","11/107","193/18903",1.24768600697464e-08,4.92277920576844e-07,2.22116695411537e-07,"948/960/1440/1950/2066/2623/3458/3569/407006/3084/5175",11
"GO:1902100","BP","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","7/107","50/18903",1.24827706550421e-08,4.92277920576844e-07,2.22116695411537e-07,"9212/332/701/891/991/55143/5347",7
"GO:0030217","BP","GO:0030217","T cell differentiation","13/107","296/18903",1.27187946999431e-08,4.92277920576844e-07,2.22116695411537e-07,"84433/939/1493/2177/50943/3458/3553/3559/3569/3575/3718/5295/7048",13
"GO:0048872","BP","GO:0048872","homeostasis of number of cells","13/107","296/18903",1.27187946999431e-08,4.92277920576844e-07,2.22116695411537e-07,"695/84433/2146/50943/2623/2624/3559/3569/3575/3718/407006/407007/6521",13
"GO:1901342","BP","GO:1901342","regulation of vasculature development","14/107","355/18903",1.3206913072258e-08,5.06348063449589e-07,2.2846516953201e-07,"672/947/2022/2247/2624/3553/3569/406913/407006/407007/5468/28984/7015/7048",14
"GO:0033046","BP","GO:0033046","negative regulation of sister chromatid segregation","7/107","51/18903",1.44017490366554e-08,5.36960624632729e-07,2.4227761295851e-07,"9212/332/701/891/991/55143/5347",7
"GO:0033048","BP","GO:0033048","negative regulation of mitotic sister chromatid segregation","7/107","51/18903",1.44017490366554e-08,5.36960624632729e-07,2.4227761295851e-07,"9212/332/701/891/991/55143/5347",7
"GO:2000816","BP","GO:2000816","negative regulation of mitotic sister chromatid separation","7/107","51/18903",1.44017490366554e-08,5.36960624632729e-07,2.4227761295851e-07,"9212/332/701/891/991/55143/5347",7
"GO:0051985","BP","GO:0051985","negative regulation of chromosome segregation","7/107","53/18903",1.89975582254518e-08,6.94462686268851e-07,3.13342830366851e-07,"9212/332/701/891/991/55143/5347",7
"GO:1905819","BP","GO:1905819","negative regulation of chromosome separation","7/107","53/18903",1.89975582254518e-08,6.94462686268851e-07,3.13342830366851e-07,"9212/332/701/891/991/55143/5347",7
"GO:0033674","BP","GO:0033674","positive regulation of kinase activity","16/107","496/18903",1.91387354483542e-08,6.94462686268851e-07,3.13342830366851e-07,"891/894/930/990/1950/2066/2146/2247/2263/3458/3553/4233/3084/5979/28984/7048",16
"GO:0048762","BP","GO:0048762","mesenchymal cell differentiation","12/107","252/18903",1.96137788903364e-08,7.05401746994045e-07,3.18278554512958e-07,"2022/2066/2146/2263/3553/3569/407006/407007/3084/5979/28984/7048",12
"GO:0042063","BP","GO:0042063","gliogenesis","13/107","310/18903",2.19948553544991e-08,7.84097299655128e-07,3.53786131371538e-07,"6347/983/1030/1869/2146/2247/3458/3553/3569/407006/407007/3084/7431",13
"GO:0018105","BP","GO:0018105","peptidyl-serine phosphorylation","13/107","313/18903",2.46431214491828e-08,8.7086648321286e-07,3.92936545212599e-07,"6790/857/960/8317/983/11200/1440/3458/3569/5347/5979/7037/7048",13
"GO:0033047","BP","GO:0033047","regulation of mitotic sister chromatid segregation","7/107","56/18903",2.8188246458338e-08,9.87560634540393e-07,4.45589159078265e-07,"9212/332/701/891/991/55143/5347",7
"GO:0042060","BP","GO:0042060","wound healing","15/107","442/18903",2.84851402500797e-08,9.89432563900203e-07,4.46433777018793e-07,"857/947/948/960/2247/2263/2623/2624/3043/3569/407006/3084/5468/6521/7048",15
"GO:0045619","BP","GO:0045619","regulation of lymphocyte differentiation","11/107","210/18903",2.98681498174818e-08,1.02867932930717e-06,4.64141989135176e-07,"695/84433/939/1493/2177/50943/3458/3559/3575/3718/7048",11
"GO:0006261","BP","GO:0006261","DNA-templated DNA replication","10/107","166/18903",3.51062756133731e-08,1.19892356380461e-06,5.40956498173338e-07,"580/672/675/898/8318/990/8317/4173/5111/5888",10
"GO:0010586","BP","GO:0010586","miRNA metabolic process","8/107","90/18903",4.26870518604935e-08,1.44566815634205e-06,6.52288108254207e-07,"2247/2353/60674/2624/3725/10984/5468/7015",8
